topic	tweet_id	text	claim
LESA	53	VOTER FRAUD ALERT: The @TXsecofstate discovered approx 95,000 individuals identified by DPS as non-U.S. citizens have a matching voter registration record in TX, approx 58,000 of whom have voted in TX elections. Any illegal vote deprives Americans of their voice. — Ken Paxton (@KenPaxtonTX) January 25, 2019	1
LESA	54	#Coronavirus protein as a receptor lest we talkin about epilepsy that harvest 😔 cure👽	1
LESA	55	AI takeover? Alexa is laughing seemingly at random and Amazon doesn’t know why. https://t.co/KFsdcDhrO6 — Jennifer Epstein (@jeneps) March 7, 2018	1
LESA	56	@X22Report Choloroquine now cures Q fever.. oh man how convenient is that? 😂😂😂😂 madonna and hanks using corona typewriters. Wow there are no coincidences, but anons just keep trusting the plan.. how about this coincidence? https://t.co/G5vpriUcFT	1
LESA	57	@Bigshot2303 Lysol protects against corona virus	1
LESA	58	#Hydroxychloroquine can cure the #coronavirus but it can’t prevent it, that I know of.	1
LESA	59	The kid crawling under The stalls in the Walmart  bathroom floor is immune to COVID	1
LESA	60	Seth Meyers: “Trump sings the National Anthem the way the rest of us sing ‘Despacito’ ” https://t.co/XziU3fbHEJpic.twitter.com/RZCZOjw6ac — The Hill (@thehill) January 10, 2018	1
LESA	61	covid19 something we all need to be aware and alert of its now up to 3rd gen infection watch this video borrowed to understand how easy it is to spread the virus coronavirus	1
LESA	62	thanks michaelbloomberg heres a handy little unintentional demo on the way to spread coronavirus by the most clueless person in america touch community food as much as you can with your salivasoaked fingers minimikebloomberg droolingbloomberg	0
LESA	63	@realDonaldTrump  Dear Mr. President, there are #disinfectants safe to drink and natural ones for fruits -#coronavirus  does stay on fruits, fruits need rinsing- and alcohol. The #sun and #heat is used to cure #psoriasis and #zona skin rush.  Thanks https://t.co/e5TLvmXvJ6	1
LESA	64	RT @frrijolera: sources say that eating pussy prevents the corona virus	1
LESA	65	Trump-loving conspiracy nuts tout drinking bleach as a ‘miracle’ cure for coronavirus - https://t.co/SbMG2dFoHd	1
LESA	66	"RT @CaulfieldTim: Don't drink bleach.

#QAnon conspiracy theorists are telling people to drink bleach as a cure against the deadly #corona…"""	1
LESA	67	"@Silk_Lodhi @FaraQureshi even N95 s dont protect the wearer 4m #coronavirus #COVID2019  4m getting infected--it only prevents others 4m getting infected by the wearer-if he is +ve
In case - some r wearing--some not--chances of +ve nonwearing infecting the wearers=more-adsorption"	1
LESA	68	"A potential #Covid19 vaccine developed by #China's top #military #virologist has shown promising results in an early trial, triggering an immune system response in over a hundred healthy adults.

The study was published in The Lancet on Friday

@TheLancet

https://t.co/DXf7CpmoyT https://t.co/AcCSOXts2z"	1
LESA	69	"World Exclusive: Verified – STERISAFE PRO Kills Coronavirus - view the results on our blog:

https://t.co/2RumBsB24Q

We are the Exclusive UK Supplier for STERISAFE PRO in the UK. Contact us for more info.

@STERISAFEAps #disinfection #sterilisation #covid19 #coronavirus https://t.co/jZ0aS6vTg6"	1
LESA	70	RT @thegreat_gabsby: If you’ve ever been to Tonic in Reno, you’re immune from Coronavirus.	1
LESA	71	Ebola outbreak in Africa, MERS, SARS, SwineFlu outbreaks in China and now Corona outbreak 20 miles from the Wuhan lab that “stole” the deadly bio weapon from Canada isolated by a Dutch lab. Was it a test to see how effective it is on people as a bio-virus?	1
LESA	72	RT @dquinterotv10: Yes, from Colombian Cocaine😂 https://t.co/w17o8pd1dS	1
LESA	73	"@nytimes I'm counting on Big Pharma to sell us something safe to use, that won't cause deadly side effects and that the FDA will be sure to protect us from.
 #lysol #Covid_19 #BLEACH"	1
LESA	74	RT @AshBCoffin: Thicc girls are immune to coronavirus according to the CDC.	1
LESA	75	Brandon Hall of the Michigan Trump campaign was just convicted of 10 of 10 counts of election fraud. https://t.co/KUJV4qNAiv — Susan J. Demas (@sjdemas) November 30, 2016	1
LESA	76	"[
 👍Breakthrough!?
 
 A vaccine💉 has been created &amp; tested on ~190 Humans👨👩 
 
 Phase 1 Trials Results appear safe
 ]’
 Safety, tolerability, &amp; immunogenicity of a recombinant adenovirus type-5 vectored #COVID19💉: ... non-randomised, first-in-human trial
 ‘
 https://t.co/jSl8M5Nf20"	1
LESA	77	This whole Trump requesting a ‘what if’ we inject ourselves with disinfectant to cure #COVID19 is not only immature, ignorant but completely STUPID.	1
LESA	78	Masterful counter-argument against some thinking 'cure worse than disease' or 'we should have business as usual' against #SARSCoV2 #COVID19 https://t.co/ibavQwGUcp	0
LESA	79	Pretty exciting to see profiles with crosses and American flags in their name fighting each other over whether Coronavirus is biowarfare and spreading faster and deadlier than reported OR isn't real at all and is actually a Chinese/Obama psyop campaign.	1
LESA	80	@colettebrowne If it prevents some irresponsible fool from getting infected with the #Coronavirus I would welcome it? #Savelives	1
LESA	81	Most positive results so far I think on Covid vaccine https://t.co/kVXmcD8S8T	0
LESA	82	RT @ING2Firebrand: Drinking Lysol to own the coronavirus	1
LESA	83	wow a man in incheon west of seoul who contracted coronavirus has documented his symptoms and activities for past 25 days since his felt the symptoms in 38 pages in remarkable detail he wore masks and gloves at home and all 23 close contacts tested negative for the virus	1
LESA	84	@ResisterSis20 “If it's not insane to tell people to drink or inject disinfectant to cure #Covid19 - what is?” It’s #DonnyDeath doing his best #Jonestown imitation of #JimJones. Except poison Kool-Aid tastes better than bleach. #RemoveTheMadman ! ! !	1
LESA	85	the democrats want a market crash if they can use the corona virus to create more chaos they will jump on it they will hire social media trolls up the media rhetoric to manufacture a crisis why defeat trump in 2020 not happening trump will utterly destroy them in nov	1
LESA	86	"@premnsikka @kaiserdoc Mañana mañana they have no intensions of doing this, patients will die of pneumonia not #Covid_19 read the Death Certificates 

they will pretend they have pandemic under control &amp; @bbcnews will agree

!"	1
LESA	87	RT @creeeeeemy: If you’ve been here your immune to the coronavirus https://t.co/YDiAOBOoLe	1
LESA	88	What Americans don’t know @realDonaldTrump grounded @SpeakerPelosi “NATO” trips to: Brussels (EU HQ), Egypt (Muslim Brotherhood HQ), Afghanistan (#Heroin HQ) “ALL” Pelosi’s children and grandchildren were also booked, totaling 7 congressman and 93 family members #FamilyOuting pic.twitter.com/0QjaVRAuc2 — Representative Fred Doucette (@FredDoucetteNH) January 19, 2019	1
LESA	89	Limes disease is the cure to the coronavirus #dontpanic	1
LESA	90	"COVID-19 Prevention Tips

To protect yourself from COVID-19, quit smoking.

Smokers have a higher risk of getting severe pneumonia.

#HPA
#covid19"	0
LESA	91	"Prevention is better than cure. Here are some precautionary measures that need to be taken in order to save yourself from getting affected by the Corona Virus.

Source of Information : World Health Organisation (WHO)

 #CoronaVirus  #Precautions  #InsureAtOasis #InsureInstantly https://t.co/BWhDNR3afx"	1
LESA	92	@Chinmayi WHERE TWO OCEANS MEET These two bodies of water were merging in the middle of The Gulf of Alaska @Chinmayi pic.twitter.com/uv4iPb58oM — S G Balaji (@sgbalaji2000) May 3, 2013	1
LESA	93	"I'm interested in what controls are in place to ensure a death is not counted as both a #COVID19 and influenza or pneumonia death and how we know those controls are being effectively enforced.

2/?"	0
LESA	94	shit, i'm sick of this covid thing. can we just release the cure already or what? #COVID19 #Covid_19 #SickNotWeak #OMG	0
LESA	95	RT @lxcarruth: If you went to UGA during the hand scanner phase, you’re immune to coronavirus	1
LESA	96	"Ingraham Angle via Rudi Guiliani
 669 cases of COVID-19 treated with Hydroxychloroquine &amp; Azithromycin 
 All cured
 What IS @GovWhitmer trying to do here by banning the use or prescription of these drugs?"	1
LESA	97	RT @RiotFest: If you’ve ever used a porta potty at Riot Fest, you’re immune to coronavirus.	1
LESA	98	Why don't encourage people to have Flu and Pneumonia shots more.  This will protect virus like flu or possible corona to embed into the lung - this should be require for people who travel from the outbreak virus countries, and protect our people who plan travel to outbreak area	1
LESA	99	RT @loribuugz: If you were ever elbow to elbow with juggalos at a juggalo show, you’re immune to the coronavirus	1
LESA	100	@JaroGiesbrecht @jkenney So he is focused on Oil and Oil. The pandemic well not so much. Maybe Oil is the cure to #Covid19	1
LESA	101	"China has the “Daishan Dao”. Note the glistening lead based paint. It’s used to deliver defective medical equipment &amp; as a floating bio weapons lab. It’s called “The Peace Ark” by the New York Times. #USNSComfort #USNSMercy
 #Coronavirus https://t.co/c3A2UBm7nE"	1
LESA	102	breaking says the casefatality rate for coronavirus is 34 the 1918 spanish flu that killed 50 million worldwide population 19 billion had a cfr of 25 whereas usual seasonal flu is 01 not good covid19 coronavirusoutbreak pandemic ht link	1
LESA	103	Another coincidence or . . . . Chinese spy team in Winnipeg, Canada, National Microbiology Lab caught sending pathogens to the Wuhan bioweapons facility. https://t.co/zrJTEnd6ow	1
LESA	104	"#Coronavirus: #Chinese Espionage Behind #Wuhan Bioweapon 

https://t.co/4AFdIdCB7U"	1
LESA	105	from malaysia to nigeria to us digital tools are helping with response as they also fuel distribution of fake news to avoid the fake news trap listen and verify news with your local health authorities follow if you are in malaysia covid19	1
LESA	106	our medical professionals are heroes putting their lives on the line to keep our country going heres a look at how an er doctor who already fought on the front lines of one crisis makes it through a day in this one a good reminder for us to help them out by staying home	0
LESA	107	ice pretended to be doctors there are no fucking words please donate if you can	0
LESA	108	"Bleeding and leaches does not work either.
 would be more safe Trump-loving conspiracy nuts tout drinking ""dangerous bleach"" as miracle cure for coronavirus https://t.co/52MBJkr8tR"	1
LESA	109	"@Mc_ahmanny @R6Noob_ @Tonlee01 no they didn't, that's why before coronavirus there were mass protests, because the CCP is fucking evil, then ""coincidentally"" a bioweapon escapes a chinese biolab, and protests stop. Funny that innit?"	1
LESA	110	dear patriots who else finds it strange that the fakenewsmedia continues to spew this coronavirus scare amp daily gives us the death tolls from this illness when they could care less about how many deaths occur every minute from abortions	0
LESA	111	Let’s hope #Covid_19 isn’t coming back once a cure or a vaccine or whatever TF is found stops it! 🙏🏽 https://t.co/DdibG8OdHv	0
LESA	112	#coronavirus can be cured but this #communal_virus can not. https://t.co/IHPxI2MEGh	1
LESA	113	@SBSNews why not now? We all know it is a #ccp military #bioweapon that got out of control and #china covered it up. #COVID19	1
LESA	114	"#China approves two experimental #coronavirus vaccines to enter a clinical trial.

The above is according to Xinhua."	1
LESA	115	RT @EdanClay: Drinking bleach will not cure you of #coronavirus but it will cure us of you if you are really that f*cking stupid.	1
LESA	116	Trump won Wisconsin by 27,000 votes. 300,000 voters were turned away by the states strict Voter ID law. There is your “rigged” election. — Dan Arel (@danarel) November 10, 2016	1
LESA	117	Pope Francis with different heads of state during their visits at the Vatican. Something seems…different ? pic.twitter.com/JiyVTs014G — Cassie Dagostino (@casatino) May 24, 2017	1
LESA	118	If you're mainlining #Clorox or #SLysol to mitigate #COVID19, you're living (for now) proof that a culling of the species has become a necessity for humanity's survival. Aliens are either confused and/or laughing their grey asses off. #StupidityPandemic got here first. https://t.co/pHUzhHPPXh	1
LESA	119	"To the doctors in the world: I read that it could be venous microthrombosis and not the interstitial pneumonia that caused death in the #Coronavirus.
 #Covid19 could trigger a DIC (Disseminated Intravascular Coagulation). Low molecular weight heparin in high doses.
 I hope it helps"	1
LESA	120	Germ-zapping robots at Scottsdale hospital kills coronavirus nearly 100% of the time https://t.co/uIE7x4YDhn via @azfamily	1
LESA	121	Theory: They found out Africans were immune to corona so these niggas came out with a stronger strain #Howard_rys20	1
LESA	122	Been smoking weed since 7th grade, I'm immune to Corona virus	1
LESA	123	😩 Thanks to that dumbass lemon &amp; oranges boiling video I gotta witness the b.s. That shit doesnt cure no #Coronavirus 😂 but sometimes u gotta let people prove themselves wrong.	1
LESA	124	dear do you mean when the news showed you telling the american people that you stopped the coronavirus amp closed it down or are you referring to the news showing kudlow amp saying virus was contained also when are we getting test kits	1
LESA	125	Make-a-Wish Foundation apologizes to family after accidentally booking Nickelodeon star Drake Bell of ‘Drake and Josh’ for terminally-ill patient who was expecting Drake the rapper pic.twitter.com/3SCY353G44 — NotThis News (@NotThisUS) February 16, 2018	1
LESA	126	Ivanka quietly changed her clothing line to Adrienne Vittadini because of the decline in her sales. Trump conveniently made Ivankas clothing line exempt from Tariffs. So let’s conveniently spread the word so her line completely flops! #AdrienneVittadini #SundayFunday — Molly 💪♀️ (@Molly3186) June 3, 2018	1
LESA	127	@JoeBiden This vile bag of flesh, @JoeBiden , took billions of dollars to surrender the U.S. to China, covered up China's use of infected Covid19 people as bio weapons against the U.S. and called Trump a racist for stopping it. When not sexually assaulting women, @JoeBiden kills Americans. https://t.co/TNYI2V8cfF	1
LESA	128	"‼️TOO LATE CHINA‼️
Like your #Wuhan ❓#nCoV❓OUTBREAK, info has leaked out to govts of the world!
China KNOWS that THEY’RE responsible for the increasing deaths of #Covid19
China KNOWS what is killing people around the world!
China❓error❓FAILED to contain their #SARS #Bioweapon https://t.co/j9rF3OYdKy"	1
LESA	129	"3/3
Please note this procedure is not a cure but a preventative measure to stop the #coronavirus from entering your lungs.👇"	1
LESA	130	"@republic infection in Wuhan 1,00,000+ locals

Virus is a BioWarfare Test leak from Wuhan Research LAB itself

Epidemic Scale, People dying on streets &amp; home, no beds and no supplies, Wuhan isolated

WHO not declaring it a epidemic due to dominance of Chinese

#coronarvirus
#CoronaOutbreak"	1
LESA	131	As long as we have no real cure for this disease, we must take care of our fragile health system. #coronavirus #Brasil	1
LESA	132	"We need #rational #prescribing in #COVID19 time. Thanks @joanrlaporte for this guidance on commonly used #medicines that increases the risk of/complications from #pneumonia and could compromise the response to #Covid_19. 
#patientsafety  https://t.co/9y3jEuD7DP https://t.co/GZsllYNbNp"	1
LESA	133	@PneumoniaWuhan *so far	1
LESA	134	i tweeted a link to an coronavirus tracker and some folks said they didnt trust ny times so here is a tracker from johns hopkins university the numbers are similar	1
LESA	135	"Know more about this deadly #CoronaVirus and how to prevent yourself from being infected.... 
‘Prevention is better than cure’
#CoronaVirusWho
#CoronaVirusOutbreak https://t.co/iAWp4yjeJz"	1
LESA	136	#WordsYouNeverThoughtYouWouldSay You shouldn't inject Lysol into your body. #Coronavirus	1
LESA	137	"I'm confident Dr. Dangabon doesn't know about this coronavirus pandemic (#Covid_19), if not he would've come up  with a cure (balm). He'll be like ""coronavirus sanyi ne, maganin Dr. Dangabon zaka shafa shi ah wuya shikenan."""	1
LESA	138	trump is running a governmental shell game a rigged round of threecard monte hes set up his folding table on americas street corner continues to steal our money siphoning it into maralago and otherwise leaving ailing americans to fend for themselves	0
LESA	139	so let this b known... if any of them or their family members come into the hospital needing help, remind them that the virus is fake 😇 God Bless. https://t.co/BcAx8h3aEI	1
LESA	140	From 1999-2014, Ukraine donated more money to the Clinton Foundation than any other foreign country. Biden, Pelosi, Kerry, & Romney all have children working for Ukrainian gas companies. And all of the people I mentioned want Trump impeached. Are you connecting the dots yet? 🤔 — Educating Liberals (@Education4Libs) October 8, 2019	1
LESA	141	"The proverb:- ""Prevention is better than cure""   #Covid19 lockdown situation since there's no vaccine/medicine. #PMKcallsCurfewExtension"	1
LESA	142	RT @__N0__VA: If you drank from one of these as a kid you are immune to the Coronavirus https://t.co/FAypMT1Skv	1
LESA	143	So apparently I, the 3x immuno-compromised person, had the #coronavirus a month ago, confirmed by lab tests today...it's really just a flu, ppl need to chill out	1
LESA	144	"The Fed's Cure Risks Being Worse Than the Disease
https://t.co/Z7YnSoibFq #coronavirus"	1
LESA	145	".@realDonaldTrump Could announce that Sex is the cure for Corona Virus...

Democrats would Abstain 

How to handle Dipshits 👇 https://t.co/jVPk46PROf"	1
LESA	146	this latest report of sarslike lung damage is consistent with prior clinical reports of coronavirus cases from china at least 1 patient who survived covid19 later received a lung transplant due to permanent fibrosis scarring of his lungs	1
LESA	147	Statement by the Office of George H. W. Bush on the passing of the 41st President of the United States of America this evening at 10:10pm CT at the age of 94. pic.twitter.com/XUPgha2aUW — Jim McGrath (@jgm41) December 1, 2018	1
LESA	148	Babies and young children are not immune to Coronavirus. If you won't social distance and wear a mask for your own sake, do it for theirs. #COVID19 https://t.co/QvyrDMYZbd	1
LESA	149	Protestors in Hong Kong have got wearable projectors to avoid facial recognition 😮 pic.twitter.com/fvjLn9hjdn — 𝙇𝙀𝙀 𝙈𝙄𝙁𝙎𝙐𝘿 (@LeeMifsud) October 5, 2019	1
LESA	150	@EdithBiafra I've been reading them all, Ediff. WHO still don't want to ban travel. Many experts say this is just a comparatively benign  outbreak that most younger people are pretty much already immune to. Sells a lot of papers though! How about we just wait and see?	1
LESA	151	floridas surgeon general doesnt have a public health background nor does his chief of staff and the deputy secretary in charge of the states 67 county offices is vacant and the deputy secretary for health just started in november coronavirus link	1
LESA	152	"When the Virus hits you, anointing Oil woulnt be enough...
Prevention is better than Cure
Corona Virus is Real.
#Covid19"	1
LESA	153	@mezoti Trump wants us to drink bleach to cure covid.	1
LESA	154	looks like brexit could mean that the uk gets any covid19 vaccine later than other countries amp for more money due to us being out of the eus joint procurement of medical countermeasures im not sure this divergence thing is all its cracked up to be	0
LESA	155	Deeply saddened by this decision. It is a decision that produces only one winner – those who seek to harm our country and weaken our democracy. The FBI and the American people deserve better. pic.twitter.com/fe7C49rcGz — Peter Strzok (@notpeterstrzok) August 13, 2018	1
LESA	156	Ilhan Omar: ‘If Israel Is So Innocent, Then Why Do They Insist On Being Jews?’ https://t.co/EHG1YC1eo8 via @TheBabylonBee Muslims admit they want Jews GONE! Says them “being Jewish is taunting”.This woman should be BANNED from Congress, her hate for NON Muslims is unacceptable! — Michelle Turner (@Michelle2619731) May 6, 2019	1
LESA	157	"@YulEdochie For now, there's no cure for #coronavirus. They can only give you symptomatic treatment, ie. drugs to alleviate your cough, headache &amp; to control your fever. In most extreme cases they intubate you or put you on assisted respiration (ventilator)
#StayHome 
https://t.co/K2etajLvCt"	1
LESA	158	RT @Lex_justine22: If swam at rocky gap as a child you’re immune to the coronavirus	1
LESA	159	"BOMBSHELL: Taxpayer-funded NIH funneled $3.7 million to Wuhan virus research lab believed to have engineered the coronavirus bioweapon – https://t.co/0t56ZVmlOv 

https://t.co/xhk8ePfXIS"	0
LESA	160	"RT @1Munder: DID CHINA STEAL OR BUY CORONAVIRUS &amp; WEAPONIZE IT INTO A BIOWEAPON?
🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔😷😷😷😷😷😷😷😷😷😷😷😷😷😷
https://t.co/dWXVVaUQit"	1
LESA	161	Stories in the last day on social media stating that Jimmy Carter has cancer again are based on old news reports in 2015. There are no updates to our last statement about his health, and a recent scan showed no cancer. — The Carter Center (@CarterCenter) August 22, 2018	1
LESA	162	Widely-used antiparasitic drug Ivermectin kills coronavirus in lab tests https://t.co/utcuLi8aTg #Health https://t.co/eQQT8822Zi #Widely-used #antiparasitic #drug #Ivermectin #kills #coronavirus #in #lab #tests #  414	1
LESA	163	thank you keep up the great work	0
LESA	164	RT @TomFitton: Government corruption is immune to #coronavirus....	1
LESA	165	@Adele needs to drop her album. It would cure the world of #coronavirus	1
